CORES;Data Aplicacao;Estabelecimento Executante;Vacina;Qdade
I;jul/23;UAPS AIRTON MONTE;MENINGOCOCO C;3
I;jul/23;UAPS AIRTON MONTE;PENTAVALENTE;3
I;jul/23;UAPS AIRTON MONTE;PNEUMOCOCICA 10-VALENTE;3
I;jul/23;UAPS AIRTON MONTE;QUADRIVALENTE CONTRA O HPV;2
I;jul/23;UAPS AIRTON MONTE;RAIVA EM CULTIVO CELULAR VERO;3
I;jul/23;UAPS AIRTON MONTE;ROTAVIRUS;2
I;jul/23;UAPS AIRTON MONTE;TRIPLICE VIRAL (VTV);7
I;jul/23;UAPS AIRTON MONTE;VARICELA (ATENUADA);1
I;jul/23;UAPS CARLOS RIBEIRO;ANTIPOLIO (SABIN) VOP;4
I;jul/23;UAPS CARLOS RIBEIRO;ANTIPOLIO INATIVADA VIP;6
I;jul/23;UAPS CARLOS RIBEIRO;BCG;6
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;4
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;8
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;45
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;9
I;jul/23;UAPS CARLOS RIBEIRO;DUPLA ADULTO;15
I;jul/23;UAPS CARLOS RIBEIRO;FEBRE AMARELA;23
I;jul/23;UAPS CARLOS RIBEIRO;HEPATITE A;3
I;jul/23;UAPS CARLOS RIBEIRO;HEPATITE B;12
I;jul/23;UAPS CARLOS RIBEIRO;INFLUENZA (GRIPE);97
I;jul/23;UAPS CARLOS RIBEIRO;MENINGOCOCICA ACWY;3
I;jul/23;UAPS CARLOS RIBEIRO;MENINGOCOCO C;10
I;jul/23;UAPS CARLOS RIBEIRO;PENTAVALENTE;6
I;jul/23;UAPS CARLOS RIBEIRO;PNEUMOCOCICA 10-VALENTE;6
I;jul/23;UAPS CARLOS RIBEIRO;QUADRIVALENTE CONTRA O HPV;5
I;jul/23;UAPS CARLOS RIBEIRO;RAIVA EM CULTIVO CELULAR VERO;6
I;jul/23;UAPS CARLOS RIBEIRO;ROTAVIRUS;4
I;jul/23;UAPS CARLOS RIBEIRO;TRIPLICE (DTP);6
I;jul/23;UAPS CARLOS RIBEIRO;TRIPLICE VIRAL (VTV);6
I;jul/23;UAPS CASEMIRO FILHO;ANTIPOLIO INATIVADA VIP;3
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-INATIVADA, SINOVAC/BUTANTAN (CORONAVAC);2
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;8
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;6
I;jul/23;UAPS CASEMIRO FILHO;DUPLA ADULTO;2
I;jul/23;UAPS CASEMIRO FILHO;HEPATITE B;1
I;jul/23;UAPS CASEMIRO FILHO;INFLUENZA (GRIPE);21
I;jul/23;UAPS CASEMIRO FILHO;MENINGOCOCO C;3
I;jul/23;UAPS CASEMIRO FILHO;PENTAVALENTE;3
I;jul/23;UAPS CASEMIRO FILHO;PNEUMOCOCICA 10-VALENTE;2
I;jul/23;UAPS CASEMIRO FILHO;QUADRIVALENTE CONTRA O HPV;4
I;jul/23;UAPS CASEMIRO FILHO;RAIVA EM CULTIVO CELULAR VERO;4
I;jul/23;UAPS CASEMIRO FILHO;ROTAVIRUS;2
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;ANTIPOLIO (SABIN) VOP;1
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;5
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;19
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;6
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;DUPLA ADULTO;5
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;FEBRE AMARELA;15
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;HEPATITE A;1
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;HEPATITE B;6
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;INFLUENZA (GRIPE);41
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;MENINGOCOCICA ACWY;2
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;MENINGOCOCO C;7
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;PNEUMOCOCICA 10-VALENTE;1
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;QUADRIVALENTE CONTRA O HPV;1
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;TRIPLICE (DTP);2
I;jul/23;UAPS DR JOSE IRAGUASSU TEIXEIRA;TRIPLICE VIRAL (VTV);5
I;jul/23;UAPS FERNANDO FACANHA;ANTIPOLIO (SABIN) VOP;4
I;jul/23;UAPS FERNANDO FACANHA;ANTIPOLIO INATIVADA VIP;5
I;jul/23;UAPS FERNANDO FACANHA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;4
I;jul/23;UAPS FERNANDO FACANHA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;3
I;jul/23;UAPS FERNANDO FACANHA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;5
I;jul/23;UAPS FERNANDO FACANHA;DUPLA ADULTO;2
I;jul/23;UAPS FERNANDO FACANHA;FEBRE AMARELA;13
I;jul/23;UAPS FERNANDO FACANHA;HEPATITE A;3
I;jul/23;UAPS FERNANDO FACANHA;HEPATITE B;1
I;jul/23;UAPS FERNANDO FACANHA;INFLUENZA (GRIPE);25
I;jul/23;UAPS FERNANDO FACANHA;MENINGOCOCICA ACWY;1
I;jul/23;UAPS FERNANDO FACANHA;MENINGOCOCO C;4
I;jul/23;UAPS FERNANDO FACANHA;PENTAVALENTE;7
I;jul/23;UAPS FERNANDO FACANHA;PNEUMOCOCICA 10-VALENTE;4
I;jul/23;UAPS FERNANDO FACANHA;QUADRIVALENTE CONTRA O HPV;3
I;jul/23;UAPS FERNANDO FACANHA;RAIVA EM CULTIVO CELULAR VERO;3
I;jul/23;UAPS FERNANDO FACANHA;ROTAVIRUS;3
I;jul/23;UAPS FERNANDO FACANHA;TRIPLICE (DTP);4
I;jul/23;UAPS FERNANDO FACANHA;TRIPLICE VIRAL (VTV);3
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;ANTIPOLIO (SABIN) VOP;2
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;ANTIPOLIO INATIVADA VIP;5
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;3
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;14
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;2
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;DTPA ACELULAR - ADULTO;1
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;DUPLA ADULTO;5
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;HEPATITE B;2
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;INFLUENZA (GRIPE);24
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;MENINGOCOCO C;4
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;PENTAVALENTE;5
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;PNEUMOCOCICA 10-VALENTE;4
I;jul/23;UAPS FRANCISCO DOMINGOS DA SILVA;ROTAVIRUS;4
I;jul/23;UAPS GUIOMAR ARRUDA;ANTIPOLIO (SABIN) VOP;1
I;jul/23;UAPS GUIOMAR ARRUDA;ANTIPOLIO INATIVADA VIP;4
I;jul/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;5
I;jul/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;jul/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;19
I;jul/23;UAPS GUIOMAR ARRUDA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;3
I;jul/23;UAPS GUIOMAR ARRUDA;DTPA ACELULAR - ADULTO;3
I;jul/23;UAPS GUIOMAR ARRUDA;FEBRE AMARELA;11
I;jul/23;UAPS GUIOMAR ARRUDA;HEPATITE A;1
I;jul/23;UAPS GUIOMAR ARRUDA;HEPATITE B;4
I;jul/23;UAPS GUIOMAR ARRUDA;INFLUENZA (GRIPE);33
I;jul/23;UAPS GUIOMAR ARRUDA;MENINGOCOCO C;4
I;jul/23;UAPS GUIOMAR ARRUDA;PENTAVALENTE;4
I;jul/23;UAPS GUIOMAR ARRUDA;PNEUMOCOCICA 10-VALENTE;2
I;jul/23;UAPS GUIOMAR ARRUDA;ROTAVIRUS;1
I;jul/23;UAPS GUIOMAR ARRUDA;TRIPLICE (DTP);1
I;jul/23;UAPS GUIOMAR ARRUDA;VARICELA (ATENUADA);1
I;jul/23;UAPS JOAO MEDEIROS;ANTIPOLIO (SABIN) VOP;3
I;jul/23;UAPS JOAO MEDEIROS;ANTIPOLIO INATIVADA VIP;5
I;jul/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;jul/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;10
I;jul/23;UAPS JOAO MEDEIROS;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;jul/23;UAPS JOAO MEDEIROS;DUPLA ADULTO;7
I;jul/23;UAPS JOAO MEDEIROS;FEBRE AMARELA;10
I;jul/23;UAPS JOAO MEDEIROS;INFLUENZA (GRIPE);33
I;jul/23;UAPS JOAO MEDEIROS;MENINGOCOCICA ACWY;1
I;jul/23;UAPS JOAO MEDEIROS;MENINGOCOCO C;2
I;jul/23;UAPS JOAO MEDEIROS;PENTAVALENTE;5
I;jul/23;UAPS JOAO MEDEIROS;PNEUMOCOCICA 10-VALENTE;6
I;jul/23;UAPS JOAO MEDEIROS;QUADRIVALENTE CONTRA O HPV;2
I;jul/23;UAPS JOAO MEDEIROS;RAIVA EM CULTIVO CELULAR VERO;1
I;jul/23;UAPS JOAO MEDEIROS;ROTAVIRUS;5
I;jul/23;UAPS JOAO MEDEIROS;TRIPLICE (DTP);3
I;jul/23;UAPS JOAO MEDEIROS;TRIPLICE VIRAL (VTV);8
I;jul/23;UAPS LINEU JUCA;ANTIPOLIO INATIVADA VIP;3
I;jul/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;5
I;jul/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;4
I;jul/23;UAPS LINEU JUCA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;jul/23;UAPS LINEU JUCA;DUPLA ADULTO;8
I;jul/23;UAPS LINEU JUCA;HEPATITE B;4
I;jul/23;UAPS LINEU JUCA;INFLUENZA (GRIPE);26
I;jul/23;UAPS LINEU JUCA;MENINGOCOCICA ACWY;2
I;jul/23;UAPS LINEU JUCA;MENINGOCOCO C;1
I;jul/23;UAPS LINEU JUCA;PENTAVALENTE;3
I;jul/23;UAPS LINEU JUCA;PNEUMOCOCICA 10-VALENTE;3
I;jul/23;UAPS LINEU JUCA;QUADRIVALENTE CONTRA O HPV;4
I;jul/23;UAPS LINEU JUCA;RAIVA EM CULTIVO CELULAR VERO;2
I;jul/23;UAPS LINEU JUCA;ROTAVIRUS;3
I;jul/23;UAPS LINEU JUCA;TRIPLICE (DTP);1
I;jul/23;UAPS LINEU JUCA;TRIPLICE VIRAL (VTV);6
I;jul/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;1
I;jul/23;UAPS MARIA APARECIDA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;7
I;jul/23;UAPS MARIA APARECIDA;DTPA ACELULAR - ADULTO;1
I;jul/23;UAPS MARIA APARECIDA;DUPLA ADULTO;4
I;jul/23;UAPS MARIA APARECIDA;HEPATITE B;6
I;jul/23;UAPS MARIA APARECIDA;INFLUENZA (GRIPE);15
I;jul/23;UAPS MARIA APARECIDA;MENINGOCOCO C;3
I;jul/23;UAPS MARIA APARECIDA;PENTAVALENTE;3
I;jul/23;UAPS MARIA APARECIDA;QUADRIVALENTE CONTRA O HPV;3
I;jul/23;UAPS MARIA CIRINO SOUZA;ANTIPOLIO INATIVADA VIP;2
I;jul/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;1
I;jul/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;5
I;jul/23;UAPS MARIA CIRINO SOUZA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;3
I;jul/23;UAPS MARIA CIRINO SOUZA;DUPLA ADULTO;1
I;jul/23;UAPS MARIA CIRINO SOUZA;HEPATITE B;3
I;jul/23;UAPS MARIA CIRINO SOUZA;INFLUENZA (GRIPE);10
I;jul/23;UAPS MARIA CIRINO SOUZA;MENINGOCOCO C;1
I;jul/23;UAPS MARIA CIRINO SOUZA;PENTAVALENTE;2
I;jul/23;UAPS MARIA CIRINO SOUZA;QUADRIVALENTE CONTRA O HPV;1
I;jul/23;UAPS MARIA CIRINO SOUZA;TRIPLICE VIRAL (VTV);3
I;jul/23;UAPS MARIA CIRINO SOUZA;VARICELA (ATENUADA);1
I;jul/23;UAPS PAULO DE MELO;ANTIPOLIO (SABIN) VOP;2
I;jul/23;UAPS PAULO DE MELO;ANTIPOLIO INATIVADA VIP;6
I;jul/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;jul/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;2
I;jul/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;22
I;jul/23;UAPS PAULO DE MELO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;3
I;jul/23;UAPS PAULO DE MELO;DUPLA ADULTO;5
I;jul/23;UAPS PAULO DE MELO;HEPATITE A;1
I;jul/23;UAPS PAULO DE MELO;HEPATITE B;6
I;jul/23;UAPS PAULO DE MELO;INFLUENZA (GRIPE);46
I;jul/23;UAPS PAULO DE MELO;MENINGOCOCICA ACWY;2
I;jul/23;UAPS PAULO DE MELO;MENINGOCOCO C;5
I;jul/23;UAPS PAULO DE MELO;PENTAVALENTE;6
I;jul/23;UAPS PAULO DE MELO;PNEUMOCOCICA 10-VALENTE;8
I;jul/23;UAPS PAULO DE MELO;QUADRIVALENTE CONTRA O HPV;6
I;jul/23;UAPS PAULO DE MELO;RAIVA EM CULTIVO CELULAR VERO;2
I;jul/23;UAPS PAULO DE MELO;ROTAVIRUS;5
I;jul/23;UAPS PAULO DE MELO;TRIPLICE (DTP);2
I;jul/23;UAPS PAULO DE MELO;TRIPLICE VIRAL (VTV);7
I;jul/23;UAPS REBOUCAS MACAMBIRA;ANTIPOLIO (SABIN) VOP;3
I;jul/23;UAPS REBOUCAS MACAMBIRA;ANTIPOLIO INATIVADA VIP;3
I;jul/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;3
I;jul/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;21
I;jul/23;UAPS REBOUCAS MACAMBIRA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;jul/23;UAPS REBOUCAS MACAMBIRA;DTPA ACELULAR - ADULTO;1
I;jul/23;UAPS REBOUCAS MACAMBIRA;DUPLA ADULTO;6
I;jul/23;UAPS REBOUCAS MACAMBIRA;HEPATITE A;1
I;jul/23;UAPS REBOUCAS MACAMBIRA;INFLUENZA (GRIPE);38
I;jul/23;UAPS REBOUCAS MACAMBIRA;MENINGOCOCO C;7
I;jul/23;UAPS REBOUCAS MACAMBIRA;PENTAVALENTE;3
I;jul/23;UAPS REBOUCAS MACAMBIRA;PNEUMOCOCICA 10-VALENTE;3
I;jul/23;UAPS REBOUCAS MACAMBIRA;QUADRIVALENTE CONTRA O HPV;2
I;jul/23;UAPS REBOUCAS MACAMBIRA;RAIVA EM CULTIVO CELULAR VERO;2
I;jul/23;UAPS REBOUCAS MACAMBIRA;TRIPLICE (DTP);3
I;jul/23;UAPS REBOUCAS MACAMBIRA;TRIPLICE VIRAL (VTV);14
I;jul/23;UAPS VIRGILIO TAVORA;ANTIPOLIO INATIVADA VIP;1
I;jul/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;jul/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;3
I;jul/23;UAPS VIRGILIO TAVORA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;1
I;jul/23;UAPS VIRGILIO TAVORA;DUPLA ADULTO;2
I;jul/23;UAPS VIRGILIO TAVORA;INFLUENZA (GRIPE);6
I;jul/23;UAPS VIRGILIO TAVORA;PENTAVALENTE;1
I;jul/23;UAPS VIRGILIO TAVORA;PNEUMOCOCICA 10-VALENTE;1
I;jul/23;UAPS VIRGILIO TAVORA;ROTAVIRUS;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;ANTIPOLIO (SABIN) VOP;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;4
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;19
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;5
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;DUPLA ADULTO;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;HEPATITE B;5
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;INFLUENZA (GRIPE);32
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;MENINGOCOCICA ACWY;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;MENINGOCOCO C;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;PNEUMOCOCICA 10-VALENTE;1
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;RAIVA EM CULTIVO CELULAR VERO;2
I;jul/23;UAPS ZENIRTON PEREIRA DA SILVA;TRIPLICE (DTP);1
I;jul/23;UAPS 4 VARAS;ANTIPOLIO INATIVADA VIP;2
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;1
I;jul/23;UAPS 4 VARAS;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;11
I;jul/23;UAPS 4 VARAS;DUPLA ADULTO;1
I;jul/23;UAPS 4 VARAS;HEPATITE B;1
I;jul/23;UAPS 4 VARAS;INFLUENZA (GRIPE);11
I;jul/23;UAPS 4 VARAS;MENINGOCOCO C;1
I;jul/23;UAPS 4 VARAS;PENTAVALENTE;2
I;jul/23;UAPS 4 VARAS;PNEUMOCOCICA 10-VALENTE;3
I;jul/23;UAPS AIRTON MONTE;ANTIPOLIO (SABIN) VOP;1
I;jul/23;UAPS AIRTON MONTE;ANTIPOLIO INATIVADA VIP;3
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;5
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;6
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;16
I;jul/23;UAPS AIRTON MONTE;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;5
I;jul/23;UAPS AIRTON MONTE;DTPA ACELULAR - ADULTO;1
I;jul/23;UAPS AIRTON MONTE;DUPLA ADULTO;5
I;jul/23;UAPS AIRTON MONTE;FEBRE AMARELA;14
I;jul/23;UAPS AIRTON MONTE;HEPATITE A;2
I;jul/23;UAPS AIRTON MONTE;INFLUENZA (GRIPE);37
I;jul/23;UAPS AIRTON MONTE;MENINGOCOCO C;3
I;jul/23;UAPS AIRTON MONTE;PENTAVALENTE;3
I;jul/23;UAPS AIRTON MONTE;PNEUMOCOCICA 10-VALENTE;3
I;jul/23;UAPS AIRTON MONTE;QUADRIVALENTE CONTRA O HPV;3
I;jul/23;UAPS AIRTON MONTE;RAIVA EM CULTIVO CELULAR VERO;1
I;jul/23;UAPS AIRTON MONTE;ROTAVIRUS;2
I;jul/23;UAPS AIRTON MONTE;TRIPLICE (DTP);1
I;jul/23;UAPS AIRTON MONTE;TRIPLICE VIRAL (VTV);2
I;jul/23;UAPS AIRTON MONTE;VARICELA (ATENUADA);1
I;jul/23;UAPS CARLOS RIBEIRO;ANTIPOLIO (SABIN) VOP;2
I;jul/23;UAPS CARLOS RIBEIRO;ANTIPOLIO INATIVADA VIP;7
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;3
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;8
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;29
I;jul/23;UAPS CARLOS RIBEIRO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;11
I;jul/23;UAPS CARLOS RIBEIRO;DTPA ACELULAR - ADULTO;4
I;jul/23;UAPS CARLOS RIBEIRO;DUPLA ADULTO;10
I;jul/23;UAPS CARLOS RIBEIRO;HEPATITE A;3
I;jul/23;UAPS CARLOS RIBEIRO;HEPATITE B;12
I;jul/23;UAPS CARLOS RIBEIRO;INFLUENZA (GRIPE);61
I;jul/23;UAPS CARLOS RIBEIRO;MENINGOCOCICA ACWY;2
I;jul/23;UAPS CARLOS RIBEIRO;MENINGOCOCO C;5
I;jul/23;UAPS CARLOS RIBEIRO;PENTAVALENTE;7
I;jul/23;UAPS CARLOS RIBEIRO;PNEUMOCOCICA 10-VALENTE;6
I;jul/23;UAPS CARLOS RIBEIRO;QUADRIVALENTE CONTRA O HPV;8
I;jul/23;UAPS CARLOS RIBEIRO;RAIVA EM CULTIVO CELULAR VERO;1
I;jul/23;UAPS CARLOS RIBEIRO;ROTAVIRUS;6
I;jul/23;UAPS CARLOS RIBEIRO;TRIPLICE (DTP);3
I;jul/23;UAPS CARLOS RIBEIRO;TRIPLICE VIRAL (VTV);4
I;jul/23;UAPS CASEMIRO FILHO;ANTIPOLIO (SABIN) VOP;3
I;jul/23;UAPS CASEMIRO FILHO;ANTIPOLIO INATIVADA VIP;1
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-INATIVADA, SINOVAC/BUTANTAN (CORONAVAC);2
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) ADULTO;2
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BABY;3
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) BIVALENTE;10
I;jul/23;UAPS CASEMIRO FILHO;COVID-19-RNAM, PFIZER (COMIRNATY) PEDI�TRICA;4
I;jul/23;UAPS CASEMIRO FILHO;DUPLA ADULTO;8
I;jul/23;UAPS CASEMIRO FILHO;FEBRE AMARELA;14
I;jul/23;UAPS CASEMIRO FILHO;HEPATITE A;2
I;jul/23;UAPS CASEMIRO FILHO;HEPATITE B;5
I;jul/23;UAPS CASEMIRO FILHO;INFLUENZA (GRIPE);27
I;jul/23;UAPS CASEMIRO FILHO;MENINGOCOCO C;1
I;jul/23;UAPS CASEMIRO FILHO;PENTAVALENTE;2
I;jul/23;UAPS CASEMIRO FILHO;PNEUMOCOCICA 10-VALENTE;1
I;jul/23;UAPS CASEMIRO FILHO;QUADRIVALENTE CONTRA O HPV;1
I;jul/23;UAPS CASEMIRO FILHO;RAIVA EM CULTIVO CELULAR VERO;2
I;jul/23;UAPS CASEMIRO FILHO;ROTAVIRUS;1
I;jul/23;UAPS CASEMIRO FILHO;TRIPLICE (DTP);3
